,aridity,aridity,cloud-cover,evaporative-fraction,evaporative-fraction,potential-evaporation,potential-evaporation,surface-latent-heat-fl,surface-latent-heat-fl,surface-sensible-heat-,surface-sensible-heat-,temperature,water-vapor-pressure,wind-speed
aridity,1.0,-0.577927400476468,0.7472706752264313,-0.8997318080832626,0.05200320593907465,-0.8447654460489296,-0.8963465486184388,-0.8770300965368716,-0.8018229848603521,-0.5898612350885805,-0.8733089168510987,-0.8849164972550085,-0.8929332159614541,-0.21193849444144106
aridity,-0.577927400476468,1.0,-0.8289828277455972,0.3660001972247279,-0.7371297290021259,0.7413550103071324,0.650311308735961,0.7463384512565309,0.37989482642368017,0.497154412367688,0.826894426537534,0.7308267386388931,0.7143504520966147,0.7797217197177193
cloud-cover,0.7472706752264313,-0.8289828277455972,1.0,-0.5334171767622278,0.2851106067060878,-0.9123729652343485,-0.8808824250907714,-0.9006583069028391,-0.7307882734176315,-0.8070881824456729,-0.9264226801453737,-0.9405979805547486,-0.9253787147409397,-0.7476525776216293
evaporative-fraction,-0.8997318080832626,0.3660001972247279,-0.5334171767622278,1.0,0.1401797757310048,0.7870313254416019,0.8171749927693214,0.8175389613857124,0.7870279513325319,0.5833466449536795,0.7661158651885173,0.7634236179739251,0.7860491527020066,-0.05354399989049989
evaporative-fraction,0.05200320593907465,-0.7371297290021259,0.2851106067060878,0.1401797757310048,1.0,-0.11924482502371389,0.01551393260403432,-0.13441886517162663,0.3333013530872859,0.18341693466363607,-0.2625805674006979,-0.09451999607181104,-0.07170034981957289,-0.507512905581277
potential-evaporation,-0.8447654460489296,0.7413550103071324,-0.9123729652343485,0.7870313254416019,-0.11924482502371389,1.0,0.9757687942520158,0.996982785804832,0.875839173142874,0.8889050882737429,0.9792989686143978,0.9835215529254854,0.9854834132147002,0.5331258981297844
potential-evaporation,-0.8963465486184388,0.650311308735961,-0.8808824250907714,0.8171749927693214,0.01551393260403432,0.9757687942520158,1.0,0.9789326499620569,0.9429473775017576,0.8785618321212801,0.9535063418626358,0.9882104648353056,0.9935064633188518,0.46350380512953043
surface-latent-heat-fl,-0.8770300965368716,0.7463384512565309,-0.9006583069028391,0.8175389613857124,-0.13441886517162663,0.996982785804832,0.9789326499620569,1.0,0.8709722462141817,0.8581770232930289,0.9868865057970417,0.9835196093557861,0.986927220487723,0.5073955494176529
surface-latent-heat-fl,-0.8018229848603521,0.37989482642368017,-0.7307882734176315,0.7870279513325319,0.3333013530872859,0.875839173142874,0.9429473775017576,0.8709722462141817,1.0,0.8957388282811561,0.8017310298305507,0.8943250966924462,0.9065043806668143,0.283529559929955
surface-sensible-heat-,-0.5898612350885805,0.497154412367688,-0.8070881824456729,0.5833466449536795,0.18341693466363607,0.8889050882737429,0.8785618321212801,0.8581770232930289,0.8957388282811561,1.0,0.8021413221282498,0.8663820397267199,0.8687022237062803,0.5511228874105898
surface-sensible-heat-,-0.8733089168510987,0.826894426537534,-0.9264226801453737,0.7661158651885173,-0.2625805674006979,0.9792989686143978,0.9535063418626358,0.9868865057970417,0.8017310298305507,0.8021413221282498,1.0,0.9740934703007899,0.973572530252898,0.5904546283112251
temperature,-0.8849164972550085,0.7308267386388931,-0.9405979805547486,0.7634236179739251,-0.09451999607181104,0.9835215529254854,0.9882104648353056,0.9835196093557861,0.8943250966924462,0.8663820397267199,0.9740934703007899,1.0,0.9990422029500854,0.5492806984508685
water-vapor-pressure,-0.8929332159614541,0.7143504520966147,-0.9253787147409397,0.7860491527020066,-0.07170034981957289,0.9854834132147002,0.9935064633188518,0.986927220487723,0.9065043806668143,0.8687022237062803,0.973572530252898,0.9990422029500854,1.0,0.5237226783420665
wind-speed,-0.21193849444144106,0.7797217197177193,-0.7476525776216293,-0.05354399989049989,-0.507512905581277,0.5331258981297844,0.46350380512953043,0.5073955494176529,0.283529559929955,0.5511228874105898,0.5904546283112251,0.5492806984508685,0.5237226783420665,1.0
