,1960-1979,1980-1999,2000-2019,2020-2039,2040-2059,2060-2079,2080-2099,Δ absolute,Δ %
aridity_coldest-quarter,0.6254,0.6165,0.6238,0.6079,0.5986,0.5921,0.5989,-0.0265,-4.24
aridity_warmest-quarter,0.6798,0.6735,0.6619,0.6637,0.6857,0.6828,0.7016,0.0218,3.21
cloud-cover_monthly-mean,0.5247,0.5231,0.5246,0.5202,0.5173,0.5154,0.5035,-0.0212,-4.04
evaporative-fraction_coldest-quarter,0.5209,0.5193,0.5225,0.5272,0.5312,0.5331,0.527,0.0061,1.17
evaporative-fraction_warmest-quarter,0.425,0.4284,0.4382,0.4378,0.4265,0.4341,0.4263,0.0013,0.31
potential-evaporation_coldest-quarter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
potential-evaporation_warmest-quarter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
surface-latent-heat-flux_coldest-quarter,58.1407,57.3431,58.4239,59.2873,60.9273,62.0756,62.8949,4.7542,8.18
surface-latent-heat-flux_warmest-quarter,54.0353,54.5308,56.0675,56.054,55.9676,57.8648,57.4099,3.3746,6.25
surface-sensible-heat-flux_coldest-quarter,31.022,30.8485,31.3436,31.2523,31.178,31.5043,31.7477,0.7257,2.34
surface-sensible-heat-flux_warmest-quarter,55.6739,55.0232,55.1076,56.2234,57.6477,58.6001,59.5406,3.8667,6.95
temperature_monthly-mean,297.5164,297.8634,298.4228,299.4992,300.7017,302.2319,303.5517,6.0353,2.03
water-vapor-pressure_monthly-mean,902.3994,923.8264,986.9952,1080.6072,1188.2638,1336.9931,1427.4406,525.0412,58.18
wind-speed_monthly-mean,3.1133,3.1008,3.086,3.0864,3.0821,3.1043,3.1582,0.0449,1.44
