year,pc,score,variance_explained_pct
1970,PC1,-353.2758483886719,99.758
1970,PC2,9.54247760772705,0.112
1970,PC3,-9.674893379211426,0.066
1970,PC4,6.700591564178467,0.027
1971,PC1,-1.5785872164997272e-06,99.758
1971,PC2,1.3004227028545756e-08,0.112
1971,PC3,-1.9832414821507882e-08,0.066
1971,PC4,1.7778947949409485e-06,0.027
1972,PC1,-1.5785872164997272e-06,99.758
1972,PC2,-2.8307911748015613e-07,0.112
1972,PC3,-2.121642239671928e-08,0.066
1972,PC4,2.20854303734086e-06,0.027
1973,PC1,-1.5785872164997272e-06,99.758
1973,PC2,-2.7944128078161157e-07,0.112
1973,PC3,-4.578302252866706e-07,0.066
1973,PC4,1.2603040886460803e-06,0.027
1974,PC1,-1.5785872164997272e-06,99.758
1974,PC2,-2.794473061840108e-07,0.112
1974,PC3,-4.5726375219601323e-07,0.066
1974,PC4,1.0543104735916131e-06,0.027
1975,PC1,-1.5785872164997272e-06,99.758
1975,PC2,-2.7942471092501364e-07,0.112
1975,PC3,-4.594303391058929e-07,0.066
1975,PC4,1.6652346630507964e-06,0.027
1976,PC1,-1.5785872164997272e-06,99.758
1976,PC2,-2.7942471092501364e-07,0.112
1976,PC3,-4.594301969973458e-07,0.066
1976,PC4,1.6651265468681231e-06,0.027
1977,PC1,-1.5785872164997272e-06,99.758
1977,PC2,-2.7942471092501364e-07,0.112
1977,PC3,-4.594301969973458e-07,0.066
1977,PC4,1.6651265468681231e-06,0.027
1978,PC1,-1.5785872164997272e-06,99.758
1978,PC2,-2.7942471092501364e-07,0.112
1978,PC3,-4.594301969973458e-07,0.066
1978,PC4,1.6651265468681231e-06,0.027
1979,PC1,-1.5785872164997272e-06,99.758
1979,PC2,-2.7942471092501364e-07,0.112
1979,PC3,-4.594301969973458e-07,0.066
1979,PC4,1.6651265468681231e-06,0.027
1980,PC1,-1.5785872164997272e-06,99.758
1980,PC2,-2.7942471092501364e-07,0.112
1980,PC3,-4.594301969973458e-07,0.066
1980,PC4,1.6651265468681231e-06,0.027
1981,PC1,-1.5785872164997272e-06,99.758
1981,PC2,-2.7942471092501364e-07,0.112
1981,PC3,-4.594301969973458e-07,0.066
1981,PC4,1.6651265468681231e-06,0.027
1982,PC1,-1.5785872164997272e-06,99.758
1982,PC2,-2.7942471092501364e-07,0.112
1982,PC3,-4.594301969973458e-07,0.066
1982,PC4,1.6651265468681231e-06,0.027
1983,PC1,-1.5785872164997272e-06,99.758
1983,PC2,-2.7942471092501364e-07,0.112
1983,PC3,-4.594301969973458e-07,0.066
1983,PC4,1.6651265468681231e-06,0.027
1984,PC1,-1.5785872164997272e-06,99.758
1984,PC2,-2.7942471092501364e-07,0.112
1984,PC3,-4.594301969973458e-07,0.066
1984,PC4,1.6651265468681231e-06,0.027
1985,PC1,-1.5785872164997272e-06,99.758
1985,PC2,-2.7942471092501364e-07,0.112
1985,PC3,-4.594301969973458e-07,0.066
1985,PC4,1.6651265468681231e-06,0.027
1986,PC1,-1.5785872164997272e-06,99.758
1986,PC2,-2.7942471092501364e-07,0.112
1986,PC3,-4.594301969973458e-07,0.066
1986,PC4,1.6651265468681231e-06,0.027
1987,PC1,-1.5785872164997272e-06,99.758
1987,PC2,-2.7942471092501364e-07,0.112
1987,PC3,-4.594301969973458e-07,0.066
1987,PC4,1.6651265468681231e-06,0.027
1988,PC1,-1.5785872164997272e-06,99.758
1988,PC2,-2.7942471092501364e-07,0.112
1988,PC3,-4.594301969973458e-07,0.066
1988,PC4,1.6651265468681231e-06,0.027
1989,PC1,-305.3638000488281,99.758
1989,PC2,11.894164085388184,0.112
1989,PC3,4.21045446395874,0.066
1989,PC4,-9.075031280517578,0.027
1990,PC1,-1.5785872164997272e-06,99.758
1990,PC2,-2.7942471092501364e-07,0.112
1990,PC3,-4.594301969973458e-07,0.066
1990,PC4,1.6651265468681231e-06,0.027
1991,PC1,-1.5785872164997272e-06,99.758
1991,PC2,-2.7942471092501364e-07,0.112
1991,PC3,-4.594301969973458e-07,0.066
1991,PC4,1.6651265468681231e-06,0.027
1992,PC1,-1.5785872164997272e-06,99.758
1992,PC2,-2.7942471092501364e-07,0.112
1992,PC3,-4.594301969973458e-07,0.066
1992,PC4,1.6651265468681231e-06,0.027
1993,PC1,-1.5785872164997272e-06,99.758
1993,PC2,-2.7942471092501364e-07,0.112
1993,PC3,-4.594301969973458e-07,0.066
1993,PC4,1.6651265468681231e-06,0.027
1994,PC1,-1.578586875439214e-06,99.758
1994,PC2,-2.794249382986891e-07,0.112
1994,PC3,-4.5943008331050805e-07,0.066
1994,PC4,1.6651267742417986e-06,0.027
1995,PC1,-1.578586875439214e-06,99.758
1995,PC2,-2.794249382986891e-07,0.112
1995,PC3,-4.5943008331050805e-07,0.066
1995,PC4,1.6651267742417986e-06,0.027
1996,PC1,-1.578586875439214e-06,99.758
1996,PC2,-2.794249382986891e-07,0.112
1996,PC3,-4.5943008331050805e-07,0.066
1996,PC4,1.6651267742417986e-06,0.027
1997,PC1,-1.578586875439214e-06,99.758
1997,PC2,-2.794249382986891e-07,0.112
1997,PC3,-4.5943008331050805e-07,0.066
1997,PC4,1.6651267742417986e-06,0.027
1998,PC1,-1.578586875439214e-06,99.758
1998,PC2,-2.794249382986891e-07,0.112
1998,PC3,-4.5943008331050805e-07,0.066
1998,PC4,1.6651267742417986e-06,0.027
1999,PC1,-1.578586875439214e-06,99.758
1999,PC2,-2.794249382986891e-07,0.112
1999,PC3,-4.5943008331050805e-07,0.066
1999,PC4,1.6651267742417986e-06,0.027
2000,PC1,-1.578586875439214e-06,99.758
2000,PC2,-2.794249382986891e-07,0.112
2000,PC3,-4.5943008331050805e-07,0.066
2000,PC4,1.6651267742417986e-06,0.027
2001,PC1,-1.5785872164997272e-06,99.758
2001,PC2,-2.7942471092501364e-07,0.112
2001,PC3,-4.594301969973458e-07,0.066
2001,PC4,1.6651265468681231e-06,0.027
2002,PC1,-1.5785872164997272e-06,99.758
2002,PC2,-2.7942471092501364e-07,0.112
2002,PC3,-4.594301969973458e-07,0.066
2002,PC4,1.6651265468681231e-06,0.027
2003,PC1,-1.5785872164997272e-06,99.758
2003,PC2,-2.7942471092501364e-07,0.112
2003,PC3,-4.594301969973458e-07,0.066
2003,PC4,1.6651265468681231e-06,0.027
2004,PC1,-1.5785872164997272e-06,99.758
2004,PC2,-2.7942471092501364e-07,0.112
2004,PC3,-4.594301969973458e-07,0.066
2004,PC4,1.6651265468681231e-06,0.027
2005,PC1,-1.5785872164997272e-06,99.758
2005,PC2,-2.7942471092501364e-07,0.112
2005,PC3,-4.594301969973458e-07,0.066
2005,PC4,1.6651265468681231e-06,0.027
2006,PC1,-1.5785872164997272e-06,99.758
2006,PC2,-2.7942471092501364e-07,0.112
2006,PC3,-4.594301969973458e-07,0.066
2006,PC4,1.6651265468681231e-06,0.027
2007,PC1,-1.5785872164997272e-06,99.758
2007,PC2,-2.7942471092501364e-07,0.112
2007,PC3,-4.594301969973458e-07,0.066
2007,PC4,1.6651265468681231e-06,0.027
2008,PC1,-1.5785872164997272e-06,99.758
2008,PC2,-2.7942471092501364e-07,0.112
2008,PC3,-4.594301969973458e-07,0.066
2008,PC4,1.6651265468681231e-06,0.027
2009,PC1,-223.6437530517578,99.758
2009,PC2,-7.736539363861084,0.112
2009,PC3,7.249056816101074,0.066
2009,PC4,3.4163818359375,0.027
2010,PC1,-1.578586875439214e-06,99.758
2010,PC2,-2.794249382986891e-07,0.112
2010,PC3,-4.5943008331050805e-07,0.066
2010,PC4,1.6651267742417986e-06,0.027
2011,PC1,-1.578586875439214e-06,99.758
2011,PC2,-2.794249382986891e-07,0.112
2011,PC3,-4.5943008331050805e-07,0.066
2011,PC4,1.6651267742417986e-06,0.027
2012,PC1,-1.578586875439214e-06,99.758
2012,PC2,-2.794249382986891e-07,0.112
2012,PC3,-4.5943008331050805e-07,0.066
2012,PC4,1.6651267742417986e-06,0.027
2013,PC1,-1.578586875439214e-06,99.758
2013,PC2,-2.794249382986891e-07,0.112
2013,PC3,-4.5943008331050805e-07,0.066
2013,PC4,1.6651267742417986e-06,0.027
2014,PC1,-1.578586875439214e-06,99.758
2014,PC2,-2.794249382986891e-07,0.112
2014,PC3,-4.5943008331050805e-07,0.066
2014,PC4,1.6651267742417986e-06,0.027
2015,PC1,-1.578586875439214e-06,99.758
2015,PC2,-2.794249382986891e-07,0.112
2015,PC3,-4.5943008331050805e-07,0.066
2015,PC4,1.6651267742417986e-06,0.027
2016,PC1,-1.5785872164997272e-06,99.758
2016,PC2,-2.7942471092501364e-07,0.112
2016,PC3,-4.594301969973458e-07,0.066
2016,PC4,1.6651265468681231e-06,0.027
2017,PC1,-1.5785872164997272e-06,99.758
2017,PC2,-2.7942471092501364e-07,0.112
2017,PC3,-4.594301969973458e-07,0.066
2017,PC4,1.6651265468681231e-06,0.027
2018,PC1,-1.5785872164997272e-06,99.758
2018,PC2,-2.7942471092501364e-07,0.112
2018,PC3,-4.594301969973458e-07,0.066
2018,PC4,1.6651265468681231e-06,0.027
2019,PC1,-1.5785872164997272e-06,99.758
2019,PC2,-2.7942471092501364e-07,0.112
2019,PC3,-4.594301969973458e-07,0.066
2019,PC4,1.6651265468681231e-06,0.027
2020,PC1,-1.5785872164997272e-06,99.758
2020,PC2,-2.7942471092501364e-07,0.112
2020,PC3,-4.594301969973458e-07,0.066
2020,PC4,1.6651265468681231e-06,0.027
2021,PC1,-1.5785872164997272e-06,99.758
2021,PC2,-2.7942471092501364e-07,0.112
2021,PC3,-4.594301969973458e-07,0.066
2021,PC4,1.6651265468681231e-06,0.027
2022,PC1,-1.5785872164997272e-06,99.758
2022,PC2,-2.7942471092501364e-07,0.112
2022,PC3,-4.594301969973458e-07,0.066
2022,PC4,1.6651265468681231e-06,0.027
2023,PC1,-1.5785872164997272e-06,99.758
2023,PC2,-2.7942471092501364e-07,0.112
2023,PC3,-4.594301969973458e-07,0.066
2023,PC4,1.6651265468681231e-06,0.027
2024,PC1,-1.578586875439214e-06,99.758
2024,PC2,-2.794249382986891e-07,0.112
2024,PC3,-4.5943008331050805e-07,0.066
2024,PC4,1.6651267742417986e-06,0.027
2025,PC1,-1.578586875439214e-06,99.758
2025,PC2,-2.794249382986891e-07,0.112
2025,PC3,-4.5943008331050805e-07,0.066
2025,PC4,1.6651267742417986e-06,0.027
2026,PC1,-1.578586875439214e-06,99.758
2026,PC2,-2.794249382986891e-07,0.112
2026,PC3,-4.5943008331050805e-07,0.066
2026,PC4,1.6651267742417986e-06,0.027
2027,PC1,-1.578586875439214e-06,99.758
2027,PC2,-2.794249382986891e-07,0.112
2027,PC3,-4.5943008331050805e-07,0.066
2027,PC4,1.6651267742417986e-06,0.027
2028,PC1,-1.578586875439214e-06,99.758
2028,PC2,-2.794249382986891e-07,0.112
2028,PC3,-4.5943008331050805e-07,0.066
2028,PC4,1.6651267742417986e-06,0.027
2029,PC1,-1.578586875439214e-06,99.758
2029,PC2,-2.794249382986891e-07,0.112
2029,PC3,-4.5943008331050805e-07,0.066
2029,PC4,1.6651267742417986e-06,0.027
2030,PC1,-68.32258605957031,99.758
2030,PC2,-11.793834686279297,0.112
2030,PC3,6.488376617431641,0.066
2030,PC4,2.251389980316162,0.027
2031,PC1,-1.5785872164997272e-06,99.758
2031,PC2,-2.7942471092501364e-07,0.112
2031,PC3,-4.594301969973458e-07,0.066
2031,PC4,1.6651265468681231e-06,0.027
2032,PC1,-1.5785872164997272e-06,99.758
2032,PC2,-2.7942471092501364e-07,0.112
2032,PC3,-4.594301969973458e-07,0.066
2032,PC4,1.6651265468681231e-06,0.027
2033,PC1,-1.5785872164997272e-06,99.758
2033,PC2,-2.7942471092501364e-07,0.112
2033,PC3,-4.594301969973458e-07,0.066
2033,PC4,1.6651265468681231e-06,0.027
2034,PC1,-1.5785872164997272e-06,99.758
2034,PC2,-2.7942471092501364e-07,0.112
2034,PC3,-4.594301969973458e-07,0.066
2034,PC4,1.6651265468681231e-06,0.027
2035,PC1,-1.5785872164997272e-06,99.758
2035,PC2,-2.7942471092501364e-07,0.112
2035,PC3,-4.594301969973458e-07,0.066
2035,PC4,1.6651265468681231e-06,0.027
2036,PC1,-1.5785872164997272e-06,99.758
2036,PC2,-2.7942471092501364e-07,0.112
2036,PC3,-4.594301969973458e-07,0.066
2036,PC4,1.6651265468681231e-06,0.027
2037,PC1,-1.5785872164997272e-06,99.758
2037,PC2,-2.7942471092501364e-07,0.112
2037,PC3,-4.594301969973458e-07,0.066
2037,PC4,1.6651265468681231e-06,0.027
2038,PC1,-1.5785872164997272e-06,99.758
2038,PC2,-2.7942471092501364e-07,0.112
2038,PC3,-4.594301969973458e-07,0.066
2038,PC4,1.6651265468681231e-06,0.027
2039,PC1,-1.578586875439214e-06,99.758
2039,PC2,-2.794249382986891e-07,0.112
2039,PC3,-4.5943008331050805e-07,0.066
2039,PC4,1.6651267742417986e-06,0.027
2040,PC1,-1.578586875439214e-06,99.758
2040,PC2,-2.794249382986891e-07,0.112
2040,PC3,-4.5943008331050805e-07,0.066
2040,PC4,1.6651267742417986e-06,0.027
2041,PC1,-1.578586875439214e-06,99.758
2041,PC2,-2.794249382986891e-07,0.112
2041,PC3,-4.5943008331050805e-07,0.066
2041,PC4,1.6651267742417986e-06,0.027
2042,PC1,-1.578586875439214e-06,99.758
2042,PC2,-2.794249382986891e-07,0.112
2042,PC3,-4.5943008331050805e-07,0.066
2042,PC4,1.6651267742417986e-06,0.027
2043,PC1,-1.578586875439214e-06,99.758
2043,PC2,-2.794249382986891e-07,0.112
2043,PC3,-4.5943008331050805e-07,0.066
2043,PC4,1.6651267742417986e-06,0.027
2044,PC1,-1.578586875439214e-06,99.758
2044,PC2,-2.794249382986891e-07,0.112
2044,PC3,-4.5943008331050805e-07,0.066
2044,PC4,1.6651267742417986e-06,0.027
2045,PC1,-1.578586875439214e-06,99.758
2045,PC2,-2.794249382986891e-07,0.112
2045,PC3,-4.5943008331050805e-07,0.066
2045,PC4,1.6651267742417986e-06,0.027
2046,PC1,-1.5785872164997272e-06,99.758
2046,PC2,-2.7942471092501364e-07,0.112
2046,PC3,-4.594301969973458e-07,0.066
2046,PC4,1.6651265468681231e-06,0.027
2047,PC1,-1.5785872164997272e-06,99.758
2047,PC2,-2.7942471092501364e-07,0.112
2047,PC3,-4.594301969973458e-07,0.066
2047,PC4,1.6651265468681231e-06,0.027
2048,PC1,-1.5785872164997272e-06,99.758
2048,PC2,-2.7942471092501364e-07,0.112
2048,PC3,-4.594301969973458e-07,0.066
