variable,period,direction,threshold,extreme_count,pct
aridity_coldest-quarter,1960-1979,below,0.2,1716,31.48
aridity_coldest-quarter,1980-1999,below,0.2,1751,32.12
aridity_coldest-quarter,2000-2019,below,0.2,1710,31.37
aridity_coldest-quarter,2020-2039,below,0.2,1797,32.97
aridity_coldest-quarter,2040-2059,below,0.2,1819,33.37
aridity_coldest-quarter,2060-2079,below,0.2,1860,34.12
aridity_coldest-quarter,2080-2099,below,0.2,1838,33.72
aridity_warmest-quarter,1960-1979,below,0.2,975,17.89
aridity_warmest-quarter,1980-1999,below,0.2,970,17.79
aridity_warmest-quarter,2000-2019,below,0.2,958,17.57
aridity_warmest-quarter,2020-2039,below,0.2,972,17.83
aridity_warmest-quarter,2040-2059,below,0.2,908,16.66
aridity_warmest-quarter,2060-2079,below,0.2,829,15.21
aridity_warmest-quarter,2080-2099,below,0.2,732,13.43
evaporative-fraction_coldest-quarter,1960-1979,below,0.1,1475,27.06
evaporative-fraction_coldest-quarter,1980-1999,below,0.1,1469,26.95
evaporative-fraction_coldest-quarter,2000-2019,below,0.1,1482,27.19
evaporative-fraction_coldest-quarter,2020-2039,below,0.1,1475,27.06
evaporative-fraction_coldest-quarter,2040-2059,below,0.1,1453,26.66
evaporative-fraction_coldest-quarter,2060-2079,below,0.1,1453,26.66
evaporative-fraction_coldest-quarter,2080-2099,below,0.1,1485,27.24
evaporative-fraction_warmest-quarter,1960-1979,below,0.1,1382,25.35
evaporative-fraction_warmest-quarter,1980-1999,below,0.1,1373,25.19
evaporative-fraction_warmest-quarter,2000-2019,below,0.1,1115,20.45
evaporative-fraction_warmest-quarter,2020-2039,below,0.1,941,17.26
evaporative-fraction_warmest-quarter,2040-2059,below,0.1,1300,23.85
evaporative-fraction_warmest-quarter,2060-2079,below,0.1,810,14.86
evaporative-fraction_warmest-quarter,2080-2099,below,0.1,949,17.41
surface-latent-heat-flux_coldest-quarter,1960-1979,above,120.0,71,1.3
surface-latent-heat-flux_coldest-quarter,1980-1999,above,120.0,47,0.86
surface-latent-heat-flux_coldest-quarter,2000-2019,above,120.0,75,1.38
surface-latent-heat-flux_coldest-quarter,2020-2039,above,120.0,84,1.54
surface-latent-heat-flux_coldest-quarter,2040-2059,above,120.0,200,3.67
surface-latent-heat-flux_coldest-quarter,2060-2079,above,120.0,293,5.38
surface-latent-heat-flux_coldest-quarter,2080-2099,above,120.0,353,6.48
surface-latent-heat-flux_warmest-quarter,1960-1979,above,120.0,463,8.49
surface-latent-heat-flux_warmest-quarter,1980-1999,above,120.0,409,7.5
surface-latent-heat-flux_warmest-quarter,2000-2019,above,120.0,485,8.9
surface-latent-heat-flux_warmest-quarter,2020-2039,above,120.0,538,9.87
surface-latent-heat-flux_warmest-quarter,2040-2059,above,120.0,684,12.55
surface-latent-heat-flux_warmest-quarter,2060-2079,above,120.0,774,14.2
surface-latent-heat-flux_warmest-quarter,2080-2099,above,120.0,741,13.59
surface-sensible-heat-flux_coldest-quarter,1960-1979,above,90.0,12,0.22
surface-sensible-heat-flux_coldest-quarter,1980-1999,above,90.0,10,0.18
surface-sensible-heat-flux_coldest-quarter,2000-2019,above,90.0,11,0.2
surface-sensible-heat-flux_coldest-quarter,2020-2039,above,90.0,8,0.15
surface-sensible-heat-flux_coldest-quarter,2040-2059,above,90.0,11,0.2
surface-sensible-heat-flux_coldest-quarter,2060-2079,above,90.0,23,0.42
surface-sensible-heat-flux_coldest-quarter,2080-2099,above,90.0,26,0.48
surface-sensible-heat-flux_warmest-quarter,1960-1979,above,90.0,688,12.62
surface-sensible-heat-flux_warmest-quarter,1980-1999,above,90.0,586,10.75
surface-sensible-heat-flux_warmest-quarter,2000-2019,above,90.0,579,10.62
surface-sensible-heat-flux_warmest-quarter,2020-2039,above,90.0,817,14.99
surface-sensible-heat-flux_warmest-quarter,2040-2059,above,90.0,931,17.08
surface-sensible-heat-flux_warmest-quarter,2060-2079,above,90.0,1044,19.15
surface-sensible-heat-flux_warmest-quarter,2080-2099,above,90.0,1013,18.58
temperature_monthly-mean,1960-1979,above,308.15,164,0.25
temperature_monthly-mean,1980-1999,above,308.15,294,0.45
temperature_monthly-mean,2000-2019,above,308.15,790,1.21
temperature_monthly-mean,2020-2039,above,308.15,2551,3.9
temperature_monthly-mean,2040-2059,above,308.15,4697,7.18
temperature_monthly-mean,2060-2079,above,308.15,8358,12.78
temperature_monthly-mean,2080-2099,above,308.15,11107,16.98
wind-speed_monthly-mean,1960-1979,above,6.0,1742,2.66
wind-speed_monthly-mean,1980-1999,above,6.0,1563,2.39
wind-speed_monthly-mean,2000-2019,above,6.0,1652,2.53
wind-speed_monthly-mean,2020-2039,above,6.0,1705,2.61
wind-speed_monthly-mean,2040-2059,above,6.0,1473,2.25
wind-speed_monthly-mean,2060-2079,above,6.0,1558,2.38
wind-speed_monthly-mean,2080-2099,above,6.0,1658,2.53
