variable,period_label,period_year,value
aridity_coldest-quarter,1960-1979,1970,0.6254456105504342
aridity_coldest-quarter,1980-1999,1989,0.6165300882795842
aridity_coldest-quarter,2000-2019,2009,0.6238140408433992
aridity_coldest-quarter,2020-2039,2030,0.6079492478935618
aridity_coldest-quarter,2040-2059,2050,0.5985720224406894
aridity_coldest-quarter,2060-2079,2070,0.5921019751355094
aridity_coldest-quarter,2080-2099,2090,0.5989270650953437
aridity_warmest-quarter,1960-1979,1970,0.6797936056664432
aridity_warmest-quarter,1980-1999,1989,0.6735140684726805
aridity_warmest-quarter,2000-2019,2009,0.6619430133963347
aridity_warmest-quarter,2020-2039,2030,0.6637274546345585
aridity_warmest-quarter,2040-2059,2050,0.6856654136934197
aridity_warmest-quarter,2060-2079,2070,0.6827548718368396
aridity_warmest-quarter,2080-2099,2090,0.7016006358103041
cloud-cover_monthly-mean,1960-1979,1970,0.524730344248952
cloud-cover_monthly-mean,1980-1999,1989,0.5230635354870473
cloud-cover_monthly-mean,2000-2019,2009,0.5246123386071602
cloud-cover_monthly-mean,2020-2039,2030,0.5201561266680664
cloud-cover_monthly-mean,2040-2059,2050,0.5172874461263078
cloud-cover_monthly-mean,2060-2079,2070,0.515369664943279
cloud-cover_monthly-mean,2080-2099,2090,0.5035122942270157
evaporative-fraction_coldest-quarter,1960-1979,1970,0.5209255213640271
evaporative-fraction_coldest-quarter,1980-1999,1989,0.5192641522144514
evaporative-fraction_coldest-quarter,2000-2019,2009,0.522476314565641
evaporative-fraction_coldest-quarter,2020-2039,2030,0.527230531468443
evaporative-fraction_coldest-quarter,2040-2059,2050,0.5311914296114739
evaporative-fraction_coldest-quarter,2060-2079,2070,0.5330597834381248
evaporative-fraction_coldest-quarter,2080-2099,2090,0.5269516850453964
evaporative-fraction_warmest-quarter,1960-1979,1970,0.42497415372351904
evaporative-fraction_warmest-quarter,1980-1999,1989,0.42842922081694723
evaporative-fraction_warmest-quarter,2000-2019,2009,0.43821624152439975
evaporative-fraction_warmest-quarter,2020-2039,2030,0.4378192525481173
evaporative-fraction_warmest-quarter,2040-2059,2050,0.4265246292989625
evaporative-fraction_warmest-quarter,2060-2079,2070,0.4340900460525764
evaporative-fraction_warmest-quarter,2080-2099,2090,0.42627529527794306
potential-evaporation_coldest-quarter,1960-1979,1970,3.606985825591166e-08
potential-evaporation_coldest-quarter,1980-1999,1989,3.564391138794012e-08
potential-evaporation_coldest-quarter,2000-2019,2009,3.6339981360131434e-08
potential-evaporation_coldest-quarter,2020-2039,2030,3.663581164152093e-08
potential-evaporation_coldest-quarter,2040-2059,2050,3.738488026053241e-08
potential-evaporation_coldest-quarter,2060-2079,2070,3.79039073790309e-08
potential-evaporation_coldest-quarter,2080-2099,2090,3.849687624794028e-08
potential-evaporation_warmest-quarter,1960-1979,1970,4.425101207635482e-08
potential-evaporation_warmest-quarter,1980-1999,1989,4.438104437792056e-08
potential-evaporation_warmest-quarter,2000-2019,2009,4.497306774529461e-08
potential-evaporation_warmest-quarter,2020-2039,2030,4.541461600926874e-08
potential-evaporation_warmest-quarter,2040-2059,2050,4.5962998657507934e-08
potential-evaporation_warmest-quarter,2060-2079,2070,4.7161335753516015e-08
potential-evaporation_warmest-quarter,2080-2099,2090,4.7302509932892246e-08
surface-latent-heat-flux_coldest-quarter,1960-1979,1970,58.1407199586559
surface-latent-heat-flux_coldest-quarter,1980-1999,1989,57.3430735295005
surface-latent-heat-flux_coldest-quarter,2000-2019,2009,58.423896117581926
surface-latent-heat-flux_coldest-quarter,2020-2039,2030,59.28727499981049
surface-latent-heat-flux_coldest-quarter,2040-2059,2050,60.92728218004602
surface-latent-heat-flux_coldest-quarter,2060-2079,2070,62.075560355396725
surface-latent-heat-flux_coldest-quarter,2080-2099,2090,62.8949258537817
surface-latent-heat-flux_warmest-quarter,1960-1979,1970,54.035284313187475
surface-latent-heat-flux_warmest-quarter,1980-1999,1989,54.530814013261704
surface-latent-heat-flux_warmest-quarter,2000-2019,2009,56.067520544514004
surface-latent-heat-flux_warmest-quarter,2020-2039,2030,56.05396330617411
surface-latent-heat-flux_warmest-quarter,2040-2059,2050,55.967609629239995
surface-latent-heat-flux_warmest-quarter,2060-2079,2070,57.864846928512755
surface-latent-heat-flux_warmest-quarter,2080-2099,2090,57.40994426053263
surface-sensible-heat-flux_coldest-quarter,1960-1979,1970,31.022049280339964
surface-sensible-heat-flux_coldest-quarter,1980-1999,1989,30.848495666408255
surface-sensible-heat-flux_coldest-quarter,2000-2019,2009,31.34360011471216
surface-sensible-heat-flux_coldest-quarter,2020-2039,2030,31.25231846209135
surface-sensible-heat-flux_coldest-quarter,2040-2059,2050,31.178010982004682
surface-sensible-heat-flux_coldest-quarter,2060-2079,2070,31.504336875599293
surface-sensible-heat-flux_coldest-quarter,2080-2099,2090,31.747665467755734
surface-sensible-heat-flux_warmest-quarter,1960-1979,1970,55.673867675252495
surface-sensible-heat-flux_warmest-quarter,1980-1999,1989,55.02324143208684
surface-sensible-heat-flux_warmest-quarter,2000-2019,2009,55.10763427369971
surface-sensible-heat-flux_warmest-quarter,2020-2039,2030,56.22340637716885
surface-sensible-heat-flux_warmest-quarter,2040-2059,2050,57.6477185269132
surface-sensible-heat-flux_warmest-quarter,2060-2079,2070,58.600129617235254
surface-sensible-heat-flux_warmest-quarter,2080-2099,2090,59.54056180546397
temperature_monthly-mean,1960-1979,1970,297.5163814645674
temperature_monthly-mean,1980-1999,1989,297.86339771118054
temperature_monthly-mean,2000-2019,2009,298.42278471181316
temperature_monthly-mean,2020-2039,2030,299.49923567451583
temperature_monthly-mean,2040-2059,2050,300.7016657148923
temperature_monthly-mean,2060-2079,2070,302.23187620150685
temperature_monthly-mean,2080-2099,2090,303.55167187878834
water-vapor-pressure_monthly-mean,1960-1979,1970,902.3994494778896
water-vapor-pressure_monthly-mean,1980-1999,1989,923.8263992658631
water-vapor-pressure_monthly-mean,2000-2019,2009,986.9952290044135
water-vapor-pressure_monthly-mean,2020-2039,2030,1080.6072144547893
water-vapor-pressure_monthly-mean,2040-2059,2050,1188.2637725203829
water-vapor-pressure_monthly-mean,2060-2079,2070,1336.9931475857786
water-vapor-pressure_monthly-mean,2080-2099,2090,1427.4405586076398
wind-speed_monthly-mean,1960-1979,1970,3.1133300828598505
wind-speed_monthly-mean,1980-1999,1989,3.1008297962843225
wind-speed_monthly-mean,2000-2019,2009,3.0860418816819752
wind-speed_monthly-mean,2020-2039,2030,3.086448432002761
wind-speed_monthly-mean,2040-2059,2050,3.0821044532987663
wind-speed_monthly-mean,2060-2079,2070,3.104280891225629
wind-speed_monthly-mean,2080-2099,2090,3.158227754506686
