year,variable,value
1970,aridity_coldest-quarter,0.9857797981808195
1989,aridity_coldest-quarter,0.9857070698280819
2009,aridity_coldest-quarter,0.9858673042669931
2030,aridity_coldest-quarter,0.9844496520426848
2050,aridity_coldest-quarter,0.9848516653950796
2070,aridity_coldest-quarter,0.9804054854871261
2090,aridity_coldest-quarter,0.9872927353296342
1970,aridity_warmest-quarter,0.9781664465955133
1989,aridity_warmest-quarter,0.9744853066679221
2009,aridity_warmest-quarter,0.9639906624009129
2030,aridity_warmest-quarter,0.9468909658102693
2050,aridity_warmest-quarter,0.967632163618734
2070,aridity_warmest-quarter,0.9317237280118824
2090,aridity_warmest-quarter,0.9476225954830004
1970,cloud-cover_monthly-mean,0.1722783007450636
1989,cloud-cover_monthly-mean,0.17068491658374316
2009,cloud-cover_monthly-mean,0.1660006979907319
2030,cloud-cover_monthly-mean,0.17200253611915461
2050,cloud-cover_monthly-mean,0.17833230151745097
2070,cloud-cover_monthly-mean,0.19064518376043169
2090,cloud-cover_monthly-mean,0.1799778655608079
1970,evaporative-fraction_coldest-quarter,0.04032809237186409
1989,evaporative-fraction_coldest-quarter,0.039469110472062266
2009,evaporative-fraction_coldest-quarter,0.038509826660533826
2030,evaporative-fraction_coldest-quarter,0.04032774239681533
2050,evaporative-fraction_coldest-quarter,0.04365808461660744
2070,evaporative-fraction_coldest-quarter,0.04351960761449864
2090,evaporative-fraction_coldest-quarter,0.04011682462552485
1970,evaporative-fraction_warmest-quarter,0.056271469273629145
1989,evaporative-fraction_warmest-quarter,0.05842384015125171
2009,evaporative-fraction_warmest-quarter,0.0689088556840526
2030,evaporative-fraction_warmest-quarter,0.08038212211784232
2050,evaporative-fraction_warmest-quarter,0.06145788847488552
2070,evaporative-fraction_warmest-quarter,0.09107536739706495
2090,evaporative-fraction_warmest-quarter,0.08205001924676374
1970,potential-evaporation_coldest-quarter,1.1594724651397217e-08
1989,potential-evaporation_coldest-quarter,1.148644046343192e-08
2009,potential-evaporation_coldest-quarter,1.2063553837887436e-08
2030,potential-evaporation_coldest-quarter,1.2210114497507296e-08
2050,potential-evaporation_coldest-quarter,1.2341598489823417e-08
2070,potential-evaporation_coldest-quarter,1.2419499696746016e-08
2090,potential-evaporation_coldest-quarter,1.2219065595068555e-08
1970,potential-evaporation_warmest-quarter,2.305755234358831e-08
1989,potential-evaporation_warmest-quarter,2.3105908468879196e-08
2009,potential-evaporation_warmest-quarter,2.3931457765998775e-08
2030,potential-evaporation_warmest-quarter,2.4174235989713047e-08
2050,potential-evaporation_warmest-quarter,2.366638156581425e-08
2070,potential-evaporation_warmest-quarter,2.4620860374215944e-08
2090,potential-evaporation_warmest-quarter,2.3827491073738834e-08
1970,surface-latent-heat-flux_coldest-quarter,1.2498195189917227
1989,surface-latent-heat-flux_coldest-quarter,1.2484869882206175
2009,surface-latent-heat-flux_coldest-quarter,1.1332497540016215
2030,surface-latent-heat-flux_coldest-quarter,1.2330921711238725
2050,surface-latent-heat-flux_coldest-quarter,1.3629020563666703
2070,surface-latent-heat-flux_coldest-quarter,1.3742689714245349
2090,surface-latent-heat-flux_coldest-quarter,1.2964854992605903
1970,surface-latent-heat-flux_warmest-quarter,3.496976046974519
1989,surface-latent-heat-flux_warmest-quarter,3.604598965932361
2009,surface-latent-heat-flux_warmest-quarter,4.560650695646407
2030,surface-latent-heat-flux_warmest-quarter,5.342067692732867
2050,surface-latent-heat-flux_warmest-quarter,3.8031579526077706
2070,surface-latent-heat-flux_warmest-quarter,6.32981553530354
2090,surface-latent-heat-flux_warmest-quarter,5.494279537995147
1970,surface-sensible-heat-flux_coldest-quarter,27.88089204482831
1989,surface-sensible-heat-flux_coldest-quarter,27.610969255987825
2009,surface-sensible-heat-flux_coldest-quarter,28.980092965779004
2030,surface-sensible-heat-flux_coldest-quarter,29.204294435284556
2050,surface-sensible-heat-flux_coldest-quarter,29.377806185917702
2070,surface-sensible-heat-flux_coldest-quarter,29.457507432046135
2090,surface-sensible-heat-flux_coldest-quarter,29.041873282436505
1970,surface-sensible-heat-flux_warmest-quarter,53.701043237368985
1989,surface-sensible-heat-flux_warmest-quarter,53.57857410502551
2009,surface-sensible-heat-flux_warmest-quarter,54.4840851813166
2030,surface-sensible-heat-flux_warmest-quarter,54.10531422831168
2050,surface-sensible-heat-flux_warmest-quarter,54.809352004229716
2070,surface-sensible-heat-flux_warmest-quarter,54.204074505078815
2090,surface-sensible-heat-flux_warmest-quarter,53.38046055253058
1970,temperature_monthly-mean,297.91578541886184
1989,temperature_monthly-mean,298.47831533898847
2009,temperature_monthly-mean,299.2104143676558
2030,temperature_monthly-mean,300.4506697311509
2050,temperature_monthly-mean,301.7548075973612
2070,temperature_monthly-mean,303.59902018008717
2090,temperature_monthly-mean,305.02676821550205
1970,water-vapor-pressure_monthly-mean,630.5937756274485
1989,water-vapor-pressure_monthly-mean,642.6522148013366
2009,water-vapor-pressure_monthly-mean,677.6198531345128
2030,water-vapor-pressure_monthly-mean,727.7779912343764
2050,water-vapor-pressure_monthly-mean,782.5869255678117
2070,water-vapor-pressure_monthly-mean,904.3911783277558
2090,water-vapor-pressure_monthly-mean,965.1392709083507
1970,wind-speed_monthly-mean,4.302005177060434
1989,wind-speed_monthly-mean,4.259366274993143
2009,wind-speed_monthly-mean,4.258069241456028
2030,wind-speed_monthly-mean,4.314543044926988
2050,wind-speed_monthly-mean,4.326042195706545
2070,wind-speed_monthly-mean,4.369962458580198
2090,wind-speed_monthly-mean,4.4075545716666715
