year,variable,value
1970,aridity_coldest-quarter,0.8983349353928323
1989,aridity_coldest-quarter,0.8990494577543611
2009,aridity_coldest-quarter,0.8997288463055401
2030,aridity_coldest-quarter,0.8987002187441179
2050,aridity_coldest-quarter,0.8981376737306839
2070,aridity_coldest-quarter,0.8954320529460791
2090,aridity_coldest-quarter,0.8971436788944118
1970,aridity_warmest-quarter,0.8888318205337473
1989,aridity_warmest-quarter,0.8798322787827962
2009,aridity_warmest-quarter,0.8228109465733195
2030,aridity_warmest-quarter,0.8279236976000582
2050,aridity_warmest-quarter,0.8782746819651533
2070,aridity_warmest-quarter,0.8031489224083758
2090,aridity_warmest-quarter,0.8188757911551872
1970,cloud-cover_monthly-mean,0.348910084719207
1989,cloud-cover_monthly-mean,0.3520497008053085
2009,cloud-cover_monthly-mean,0.35970825559275105
2030,cloud-cover_monthly-mean,0.3599570044981512
2050,cloud-cover_monthly-mean,0.3601053014569994
2070,cloud-cover_monthly-mean,0.3740922563892009
2090,cloud-cover_monthly-mean,0.35443038872572435
1970,evaporative-fraction_coldest-quarter,0.20525323997387795
1989,evaporative-fraction_coldest-quarter,0.2115199097300153
2009,evaporative-fraction_coldest-quarter,0.20531274205297015
2030,evaporative-fraction_coldest-quarter,0.2078035704363541
2050,evaporative-fraction_coldest-quarter,0.2188118523816199
2070,evaporative-fraction_coldest-quarter,0.22424370404065624
2090,evaporative-fraction_coldest-quarter,0.21552969100917924
1970,evaporative-fraction_warmest-quarter,0.13560017063213176
1989,evaporative-fraction_warmest-quarter,0.13930140389442747
2009,evaporative-fraction_warmest-quarter,0.18154312749123336
2030,evaporative-fraction_warmest-quarter,0.18009080876877648
2050,evaporative-fraction_warmest-quarter,0.1492928263561308
2070,evaporative-fraction_warmest-quarter,0.20128505086609383
2090,evaporative-fraction_warmest-quarter,0.19631840696781375
1970,potential-evaporation_coldest-quarter,2.4922955522586228e-08
1989,potential-evaporation_coldest-quarter,2.4715307984004017e-08
2009,potential-evaporation_coldest-quarter,2.569952397532872e-08
2030,potential-evaporation_coldest-quarter,2.6403667563763103e-08
2050,potential-evaporation_coldest-quarter,2.6433545713692767e-08
2070,potential-evaporation_coldest-quarter,2.7112002078535325e-08
2090,potential-evaporation_coldest-quarter,2.648207960361236e-08
1970,potential-evaporation_warmest-quarter,3.387750503413782e-08
1989,potential-evaporation_warmest-quarter,3.424591435700544e-08
2009,potential-evaporation_warmest-quarter,3.6275900163838156e-08
2030,potential-evaporation_warmest-quarter,3.723809799929065e-08
2050,potential-evaporation_warmest-quarter,3.641110279663356e-08
2070,potential-evaporation_warmest-quarter,3.948458287054316e-08
2090,potential-evaporation_warmest-quarter,3.903363359870852e-08
1970,surface-latent-heat-flux_coldest-quarter,19.603040631527776
1989,surface-latent-heat-flux_coldest-quarter,19.926462144868587
2009,surface-latent-heat-flux_coldest-quarter,19.674305203430436
2030,surface-latent-heat-flux_coldest-quarter,19.9429664964329
2050,surface-latent-heat-flux_coldest-quarter,20.619400755500457
2070,surface-latent-heat-flux_coldest-quarter,21.341327811222637
2090,surface-latent-heat-flux_coldest-quarter,20.567463966757902
1970,surface-latent-heat-flux_warmest-quarter,13.278979775836483
1989,surface-latent-heat-flux_warmest-quarter,13.846199903764886
2009,surface-latent-heat-flux_warmest-quarter,19.232658055738312
2030,surface-latent-heat-flux_warmest-quarter,18.87005096723132
2050,surface-latent-heat-flux_warmest-quarter,15.238268302596937
2070,surface-latent-heat-flux_warmest-quarter,22.471544792503224
2090,surface-latent-heat-flux_warmest-quarter,21.381513762864806
1970,surface-sensible-heat-flux_coldest-quarter,42.34256027659461
1989,surface-sensible-heat-flux_coldest-quarter,41.45589199918384
2009,surface-sensible-heat-flux_coldest-quarter,44.173356001370024
2030,surface-sensible-heat-flux_coldest-quarter,45.862005265633314
2050,surface-sensible-heat-flux_coldest-quarter,45.10042589527221
2070,surface-sensible-heat-flux_coldest-quarter,46.5499697988198
2090,surface-sensible-heat-flux_coldest-quarter,44.53271448014391
1970,surface-sensible-heat-flux_warmest-quarter,70.31830838395922
1989,surface-sensible-heat-flux_warmest-quarter,70.71414999840559
2009,surface-sensible-heat-flux_warmest-quarter,69.43370011070692
2030,surface-sensible-heat-flux_warmest-quarter,72.6473840800442
2050,surface-sensible-heat-flux_warmest-quarter,74.61672149141602
2070,surface-sensible-heat-flux_warmest-quarter,74.78920066420332
2090,surface-sensible-heat-flux_warmest-quarter,74.47331134316154
1970,temperature_monthly-mean,300.0024498560621
1989,temperature_monthly-mean,300.42516918974206
2009,temperature_monthly-mean,300.9819229020409
2030,temperature_monthly-mean,302.1922836607228
2050,temperature_monthly-mean,303.576911277285
2070,temperature_monthly-mean,305.1738812425955
2090,temperature_monthly-mean,306.6374070051009
1970,water-vapor-pressure_monthly-mean,761.200468387959
1989,water-vapor-pressure_monthly-mean,786.1799013620958
2009,water-vapor-pressure_monthly-mean,850.9151181154554
2030,water-vapor-pressure_monthly-mean,946.0595610290756
2050,water-vapor-pressure_monthly-mean,1030.8199477415071
2070,water-vapor-pressure_monthly-mean,1188.2005425043424
2090,water-vapor-pressure_monthly-mean,1261.6793318186164
1970,wind-speed_monthly-mean,3.709507280500892
1989,wind-speed_monthly-mean,3.6503217653152524
2009,wind-speed_monthly-mean,3.6401457543883247
2030,wind-speed_monthly-mean,3.6250551283243024
2050,wind-speed_monthly-mean,3.6188854207177372
2070,wind-speed_monthly-mean,3.6466564716178715
2090,wind-speed_monthly-mean,3.795157570043228
