year,variable,value
1970,aridity_coldest-quarter,0.4335848040949588
1989,aridity_coldest-quarter,0.4334927944262367
2009,aridity_coldest-quarter,0.44178985317658936
2030,aridity_coldest-quarter,0.4326868307264256
2050,aridity_coldest-quarter,0.4242501389847068
2070,aridity_coldest-quarter,0.42223963743742704
2090,aridity_coldest-quarter,0.420511010213787
1970,aridity_warmest-quarter,0.695583770165933
1989,aridity_warmest-quarter,0.6873275218528585
2009,aridity_warmest-quarter,0.6593792082960735
2030,aridity_warmest-quarter,0.6632340600868173
2050,aridity_warmest-quarter,0.7066303850246913
2070,aridity_warmest-quarter,0.6962252286188912
2090,aridity_warmest-quarter,0.7005685922112612
1970,cloud-cover_monthly-mean,0.576685509707461
1989,cloud-cover_monthly-mean,0.5847298980022648
2009,cloud-cover_monthly-mean,0.589316247400428
2030,cloud-cover_monthly-mean,0.5878877215612301
2050,cloud-cover_monthly-mean,0.5884352642728988
2070,cloud-cover_monthly-mean,0.5905224471167568
2090,cloud-cover_monthly-mean,0.5735733409807667
1970,evaporative-fraction_coldest-quarter,0.5744636639889984
1989,evaporative-fraction_coldest-quarter,0.5830788502287997
2009,evaporative-fraction_coldest-quarter,0.5796379144574167
2030,evaporative-fraction_coldest-quarter,0.5888115356901765
2050,evaporative-fraction_coldest-quarter,0.6130200498447592
2070,evaporative-fraction_coldest-quarter,0.6233551452352567
2090,evaporative-fraction_coldest-quarter,0.6252872224685729
1970,evaporative-fraction_warmest-quarter,0.3370847236052055
1989,evaporative-fraction_warmest-quarter,0.34891880348399223
2009,evaporative-fraction_warmest-quarter,0.36531899024519493
2030,evaporative-fraction_warmest-quarter,0.36444966656233857
2050,evaporative-fraction_warmest-quarter,0.34811098185586187
2070,evaporative-fraction_warmest-quarter,0.3611656414432959
2090,evaporative-fraction_warmest-quarter,0.35639542534870045
1970,potential-evaporation_coldest-quarter,3.7062841171788464e-08
1989,potential-evaporation_coldest-quarter,3.677076800902042e-08
2009,potential-evaporation_coldest-quarter,3.7360192259497934e-08
2030,potential-evaporation_coldest-quarter,3.790087575712243e-08
2050,potential-evaporation_coldest-quarter,3.809518040906115e-08
2070,potential-evaporation_coldest-quarter,3.891654390486654e-08
2090,potential-evaporation_coldest-quarter,3.9119481370875426e-08
1970,potential-evaporation_warmest-quarter,4.6898566333355285e-08
1989,potential-evaporation_warmest-quarter,4.76061926085899e-08
2009,potential-evaporation_warmest-quarter,4.8387939999859065e-08
2030,potential-evaporation_warmest-quarter,4.929754701418348e-08
2050,potential-evaporation_warmest-quarter,4.945794613656371e-08
2070,potential-evaporation_warmest-quarter,5.145840976695845e-08
2090,potential-evaporation_warmest-quarter,5.130212201197898e-08
1970,surface-latent-heat-flux_coldest-quarter,57.25033966432078
1989,surface-latent-heat-flux_coldest-quarter,57.56752617988592
2009,surface-latent-heat-flux_coldest-quarter,57.697335350250334
2030,surface-latent-heat-flux_coldest-quarter,58.98321204994528
2050,surface-latent-heat-flux_coldest-quarter,61.147707786936344
2070,surface-latent-heat-flux_coldest-quarter,62.95135594499099
2090,surface-latent-heat-flux_coldest-quarter,64.65596921296472
1970,surface-latent-heat-flux_warmest-quarter,40.98714870986764
1989,surface-latent-heat-flux_warmest-quarter,42.87398767753604
2009,surface-latent-heat-flux_warmest-quarter,45.4711835900613
2030,surface-latent-heat-flux_warmest-quarter,45.93494488292781
2050,surface-latent-heat-flux_warmest-quarter,44.057740566465704
2070,surface-latent-heat-flux_warmest-quarter,47.53607260889221
2090,surface-latent-heat-flux_warmest-quarter,46.81306169720274
1970,surface-sensible-heat-flux_coldest-quarter,34.15985333149165
1989,surface-sensible-heat-flux_coldest-quarter,33.32984605842768
2009,surface-sensible-heat-flux_coldest-quarter,34.456855573360485
2030,surface-sensible-heat-flux_coldest-quarter,34.64129426460587
2050,surface-sensible-heat-flux_coldest-quarter,31.93320879259416
2070,surface-sensible-heat-flux_coldest-quarter,32.00987575239393
2090,surface-sensible-heat-flux_coldest-quarter,29.325604237799404
1970,surface-sensible-heat-flux_warmest-quarter,74.92711292368884
1989,surface-sensible-heat-flux_warmest-quarter,74.54431142143525
2009,surface-sensible-heat-flux_warmest-quarter,73.94151623469473
2030,surface-sensible-heat-flux_warmest-quarter,76.35349244920718
2050,surface-sensible-heat-flux_warmest-quarter,78.1622293584498
2070,surface-sensible-heat-flux_warmest-quarter,80.72713149942875
2090,surface-sensible-heat-flux_warmest-quarter,80.78347502641299
1970,temperature_monthly-mean,299.5095124538667
1989,temperature_monthly-mean,299.78768826519797
2009,temperature_monthly-mean,300.29291839230643
2030,temperature_monthly-mean,301.3115694743212
2050,temperature_monthly-mean,302.5350802336994
2070,temperature_monthly-mean,303.8990539605452
2090,temperature_monthly-mean,305.2452257553894
1970,water-vapor-pressure_monthly-mean,947.5536180925452
1989,water-vapor-pressure_monthly-mean,984.1866467520317
2009,water-vapor-pressure_monthly-mean,1061.0979746853454
2030,water-vapor-pressure_monthly-mean,1179.4684825158058
2050,water-vapor-pressure_monthly-mean,1305.802479316513
2070,water-vapor-pressure_monthly-mean,1482.0925823159675
2090,water-vapor-pressure_monthly-mean,1580.1789951656247
1970,wind-speed_monthly-mean,2.626857927908334
1989,wind-speed_monthly-mean,2.617764763562651
2009,wind-speed_monthly-mean,2.5951092890637764
2030,wind-speed_monthly-mean,2.560877577459339
2050,wind-speed_monthly-mean,2.595478000798725
2070,wind-speed_monthly-mean,2.629352262108823
2090,wind-speed_monthly-mean,2.7689756856158367
