variable,period_label,month_num,month_name,value
cloud-cover_monthly-mean,1960-1979,1,Jan,0.5124971489895693
cloud-cover_monthly-mean,1960-1979,2,Feb,0.5295067139041518
cloud-cover_monthly-mean,1960-1979,3,Mar,0.5752977379335512
cloud-cover_monthly-mean,1960-1979,4,Apr,0.5557909219262931
cloud-cover_monthly-mean,1960-1979,5,May,0.5006985178528972
cloud-cover_monthly-mean,1960-1979,6,Jun,0.4476238791044795
cloud-cover_monthly-mean,1960-1979,7,Jul,0.5015588942727933
cloud-cover_monthly-mean,1960-1979,8,Aug,0.5436991457371493
cloud-cover_monthly-mean,1960-1979,9,Sep,0.5413017492465287
cloud-cover_monthly-mean,1960-1979,10,Oct,0.5407601554153093
cloud-cover_monthly-mean,1960-1979,11,Nov,0.5373490768363935
cloud-cover_monthly-mean,1960-1979,12,Dec,0.5106801897683086
cloud-cover_monthly-mean,1980-1999,1,Jan,0.5109264817024302
cloud-cover_monthly-mean,1980-1999,2,Feb,0.5190089058566909
cloud-cover_monthly-mean,1980-1999,3,Mar,0.5736920155226092
cloud-cover_monthly-mean,1980-1999,4,Apr,0.5456825330726958
cloud-cover_monthly-mean,1980-1999,5,May,0.499899314145147
cloud-cover_monthly-mean,1980-1999,6,Jun,0.4487310380277368
cloud-cover_monthly-mean,1980-1999,7,Jul,0.5081130388000507
cloud-cover_monthly-mean,1980-1999,8,Aug,0.5425870881884248
cloud-cover_monthly-mean,1980-1999,9,Sep,0.5399033360643953
cloud-cover_monthly-mean,1980-1999,10,Oct,0.5461535603816369
cloud-cover_monthly-mean,1980-1999,11,Nov,0.5264876915915363
cloud-cover_monthly-mean,1980-1999,12,Dec,0.5155774224912143
cloud-cover_monthly-mean,2000-2019,1,Jan,0.5115742872471902
cloud-cover_monthly-mean,2000-2019,2,Feb,0.5119508949870559
cloud-cover_monthly-mean,2000-2019,3,Mar,0.5697217216780627
cloud-cover_monthly-mean,2000-2019,4,Apr,0.5443931312021718
cloud-cover_monthly-mean,2000-2019,5,May,0.5110427242699972
cloud-cover_monthly-mean,2000-2019,6,Jun,0.46008289036159156
cloud-cover_monthly-mean,2000-2019,7,Jul,0.512798458886587
cloud-cover_monthly-mean,2000-2019,8,Aug,0.5433399101576423
cloud-cover_monthly-mean,2000-2019,9,Sep,0.5435577811134934
cloud-cover_monthly-mean,2000-2019,10,Oct,0.543709128699876
cloud-cover_monthly-mean,2000-2019,11,Nov,0.5274836724536724
cloud-cover_monthly-mean,2000-2019,12,Dec,0.515693462228581
cloud-cover_monthly-mean,2020-2039,1,Jan,0.5118265467881424
cloud-cover_monthly-mean,2020-2039,2,Feb,0.5078967593473536
cloud-cover_monthly-mean,2020-2039,3,Mar,0.5569378479726848
cloud-cover_monthly-mean,2020-2039,4,Apr,0.5401774527138624
cloud-cover_monthly-mean,2020-2039,5,May,0.5074849403922248
cloud-cover_monthly-mean,2020-2039,6,Jun,0.455587071932081
cloud-cover_monthly-mean,2020-2039,7,Jul,0.508148281097229
cloud-cover_monthly-mean,2020-2039,8,Aug,0.5427331146981477
cloud-cover_monthly-mean,2020-2039,9,Sep,0.5342992312830397
cloud-cover_monthly-mean,2020-2039,10,Oct,0.5362724177020699
cloud-cover_monthly-mean,2020-2039,11,Nov,0.5234953291364853
cloud-cover_monthly-mean,2020-2039,12,Dec,0.5170145269534767
cloud-cover_monthly-mean,2040-2059,1,Jan,0.5040816341276547
cloud-cover_monthly-mean,2040-2059,2,Feb,0.5282242190407284
cloud-cover_monthly-mean,2040-2059,3,Mar,0.5714917675082323
cloud-cover_monthly-mean,2040-2059,4,Apr,0.5391141247220935
cloud-cover_monthly-mean,2040-2059,5,May,0.48744146218072726
cloud-cover_monthly-mean,2040-2059,6,Jun,0.4348406619433796
cloud-cover_monthly-mean,2040-2059,7,Jul,0.5028375973018104
cloud-cover_monthly-mean,2040-2059,8,Aug,0.5474179043002547
cloud-cover_monthly-mean,2040-2059,9,Sep,0.5236108079102143
cloud-cover_monthly-mean,2040-2059,10,Oct,0.5256304756929753
cloud-cover_monthly-mean,2040-2059,11,Nov,0.5320092441295192
cloud-cover_monthly-mean,2040-2059,12,Dec,0.5107494546581042
cloud-cover_monthly-mean,2060-2079,1,Jan,0.5059807707320844
cloud-cover_monthly-mean,2060-2079,2,Feb,0.5089763259328781
cloud-cover_monthly-mean,2060-2079,3,Mar,0.5573668758870636
cloud-cover_monthly-mean,2060-2079,4,Apr,0.542851719141881
cloud-cover_monthly-mean,2060-2079,5,May,0.5020985239963734
cloud-cover_monthly-mean,2060-2079,6,Jun,0.45727746530517654
