variable,lat,lon,value
aridity_coldest-quarter,-14.5,0.5,0.923521876335144
aridity_coldest-quarter,-14.5,1.0,0.9240681529045105
aridity_coldest-quarter,-14.5,1.5,0.9259502291679382
aridity_coldest-quarter,-14.5,2.0,0.9288960695266724
aridity_coldest-quarter,-14.5,2.5,0.9298848509788513
aridity_coldest-quarter,-14.5,3.0,0.9308880567550659
aridity_coldest-quarter,-14.5,3.5,0.931146502494812
aridity_coldest-quarter,-14.5,4.0,0.9337217211723328
aridity_coldest-quarter,-14.5,4.5,0.9368233680725098
aridity_coldest-quarter,-14.5,5.0,0.9357970952987671
aridity_coldest-quarter,-14.5,5.5,0.9362871050834656
aridity_coldest-quarter,-14.5,6.0,0.9392042756080627
aridity_coldest-quarter,-14.5,6.5,0.9435992240905762
aridity_coldest-quarter,-14.5,7.0,0.9498840570449829
aridity_coldest-quarter,-14.5,7.5,0.9542537927627563
aridity_coldest-quarter,-14.5,8.0,0.9558576345443726
aridity_coldest-quarter,-14.5,8.5,0.9541436433792114
aridity_coldest-quarter,-14.5,9.0,0.9658229947090149
aridity_coldest-quarter,-14.5,9.5,0.9668565988540649
aridity_coldest-quarter,-14.5,10.0,0.9654606580734253
aridity_coldest-quarter,-14.5,10.5,0.9650837182998657
aridity_coldest-quarter,-14.5,11.0,0.9621580839157104
aridity_coldest-quarter,-14.5,11.5,0.965551495552063
aridity_coldest-quarter,-14.5,12.0,0.9609290361404419
aridity_coldest-quarter,-14.5,12.5,0.9838261008262634
aridity_coldest-quarter,-14.5,13.0,0.9955759048461914
aridity_coldest-quarter,-14.5,13.5,0.9902492165565491
aridity_coldest-quarter,-14.5,14.0,0.9968010187149048
aridity_coldest-quarter,-14.5,14.5,0.9869679808616638
aridity_coldest-quarter,-14.5,15.0,0.9659044146537781
aridity_coldest-quarter,-14.5,15.5,0.9751806259155273
aridity_coldest-quarter,-14.5,16.0,0.9940823316574097
aridity_coldest-quarter,-14.5,16.5,0.993890643119812
aridity_coldest-quarter,-14.5,17.0,0.9897703528404236
aridity_coldest-quarter,-14.5,17.5,0.99842369556427
aridity_coldest-quarter,-14.5,18.0,0.9957666397094727
aridity_coldest-quarter,-14.5,18.5,0.9967989325523376
aridity_coldest-quarter,-14.5,19.0,0.9991701245307922
aridity_coldest-quarter,-14.5,19.5,0.9998640418052673
aridity_coldest-quarter,-14.5,20.0,0.9988366365432739
aridity_coldest-quarter,-14.5,20.5,0.9994479417800903
aridity_coldest-quarter,-14.5,21.0,0.9994508624076843
aridity_coldest-quarter,-14.5,21.5,0.9988730549812317
aridity_coldest-quarter,-14.5,22.0,0.9999982118606567
aridity_coldest-quarter,-14.5,22.5,0.9998440146446228
aridity_coldest-quarter,-14.5,23.0,0.9998708367347717
aridity_coldest-quarter,-14.5,23.5,0.9996684193611145
aridity_coldest-quarter,-14.5,24.0,0.9973956346511841
aridity_coldest-quarter,-14.5,24.5,0.9961208701133728
aridity_coldest-quarter,-14.5,25.0,0.9966592192649841
aridity_coldest-quarter,-14.5,25.5,0.9941990971565247
aridity_coldest-quarter,-14.5,26.0,0.9953016638755798
aridity_coldest-quarter,-14.5,26.5,0.9951144456863403
aridity_coldest-quarter,-14.5,27.0,0.992843508720398
aridity_coldest-quarter,-14.5,27.5,0.9909117817878723
aridity_coldest-quarter,-14.5,28.0,0.9914101958274841
aridity_coldest-quarter,-14.5,28.5,0.9858922958374023
aridity_coldest-quarter,-14.5,29.0,0.9762474894523621
aridity_coldest-quarter,-14.5,29.5,0.9630919098854065
aridity_coldest-quarter,-14.5,30.0,0.9599728584289551
aridity_coldest-quarter,-14.5,30.5,0.9803251624107361
aridity_coldest-quarter,-14.5,31.0,0.9864948391914368
aridity_coldest-quarter,-14.5,31.5,0.985957682132721
aridity_coldest-quarter,-14.5,32.0,0.9587165713310242
aridity_coldest-quarter,-14.5,32.5,0.9277567267417908
aridity_coldest-quarter,-14.5,33.0,0.9482360482215881
aridity_coldest-quarter,-14.5,33.5,0.9427403807640076
aridity_coldest-quarter,-14.5,34.0,0.9522532820701599
aridity_coldest-quarter,-14.5,34.5,0.9850370287895203
aridity_coldest-quarter,-14.0,0.5,0.9249148368835449
aridity_coldest-quarter,-14.0,1.0,0.9240706562995911
aridity_coldest-quarter,-14.0,1.5,0.9280678033828735
aridity_coldest-quarter,-14.0,2.0,0.9318996071815491
aridity_coldest-quarter,-14.0,2.5,0.9327051043510437
aridity_coldest-quarter,-14.0,3.0,0.931799054145813
aridity_coldest-quarter,-14.0,3.5,0.931394636631012
aridity_coldest-quarter,-14.0,4.0,0.93171226978302
aridity_coldest-quarter,-14.0,4.5,0.9332383871078491
aridity_coldest-quarter,-14.0,5.0,0.9358825087547302
aridity_coldest-quarter,-14.0,5.5,0.9355201125144958
aridity_coldest-quarter,-14.0,6.0,0.9365917444229126
aridity_coldest-quarter,-14.0,6.5,0.9393554925918579
aridity_coldest-quarter,-14.0,7.0,0.9459737539291382
aridity_coldest-quarter,-14.0,7.5,0.9514161944389343
aridity_coldest-quarter,-14.0,8.0,0.952757716178894
aridity_coldest-quarter,-14.0,8.5,0.9522573351860046
aridity_coldest-quarter,-14.0,9.0,0.9614138007164001
aridity_coldest-quarter,-14.0,9.5,0.9572970271110535
aridity_coldest-quarter,-14.0,10.0,0.9556111097335815
aridity_coldest-quarter,-14.0,10.5,0.958495020866394
aridity_coldest-quarter,-14.0,11.0,0.9596158266067505
aridity_coldest-quarter,-14.0,11.5,0.9597206115722656
aridity_coldest-quarter,-14.0,12.0,0.9715495705604553
aridity_coldest-quarter,-14.0,12.5,0.991402268409729
aridity_coldest-quarter,-14.0,13.0,0.9933453798294067
aridity_coldest-quarter,-14.0,13.5,0.9333174824714661
aridity_coldest-quarter,-14.0,14.0,0.8876457214355469
aridity_coldest-quarter,-14.0,14.5,0.9501387476921082
aridity_coldest-quarter,-14.0,15.0,0.9295827746391296
aridity_coldest-quarter,-14.0,15.5,0.9505228400230408
aridity_coldest-quarter,-14.0,16.0,0.9611387848854065
aridity_coldest-quarter,-14.0,16.5,0.9887452125549316
aridity_coldest-quarter,-14.0,17.0,0.9865346550941467
aridity_coldest-quarter,-14.0,17.5,0.994354248046875
aridity_coldest-quarter,-14.0,18.0,0.9972952008247375
aridity_coldest-quarter,-14.0,18.5,0.9958724975585938
aridity_coldest-quarter,-14.0,19.0,0.9988285303115845
aridity_coldest-quarter,-14.0,19.5,0.9992283582687378
aridity_coldest-quarter,-14.0,20.0,0.9998423457145691
aridity_coldest-quarter,-14.0,20.5,1.0
aridity_coldest-quarter,-14.0,21.0,0.9990774989128113
aridity_coldest-quarter,-14.0,21.5,0.999409556388855
aridity_coldest-quarter,-14.0,22.0,0.9999833703041077
aridity_coldest-quarter,-14.0,22.5,0.9996453523635864
aridity_coldest-quarter,-14.0,23.0,0.9991868138313293
aridity_coldest-quarter,-14.0,23.5,0.9969490766525269
aridity_coldest-quarter,-14.0,24.0,0.9952777028083801
aridity_coldest-quarter,-14.0,24.5,0.9927548766136169
aridity_coldest-quarter,-14.0,25.0,0.993542492389679
aridity_coldest-quarter,-14.0,25.5,0.9927634000778198
aridity_coldest-quarter,-14.0,26.0,0.9904986619949341
aridity_coldest-quarter,-14.0,26.5,0.9923339486122131
aridity_coldest-quarter,-14.0,27.0,0.9912706613540649
aridity_coldest-quarter,-14.0,27.5,0.990842342376709
aridity_coldest-quarter,-14.0,28.0,0.9933773279190063
aridity_coldest-quarter,-14.0,28.5,0.9925338625907898
aridity_coldest-quarter,-14.0,29.0,0.9901044964790344
aridity_coldest-quarter,-14.0,29.5,0.9820775389671326
aridity_coldest-quarter,-14.0,30.0,0.9646447896957397
aridity_coldest-quarter,-14.0,30.5,0.9823492169380188
aridity_coldest-quarter,-14.0,31.0,0.9830433130264282
aridity_coldest-quarter,-14.0,31.5,0.9910383224487305
aridity_coldest-quarter,-14.0,32.0,0.9892396926879883
aridity_coldest-quarter,-14.0,32.5,0.977226197719574
aridity_coldest-quarter,-14.0,33.0,0.9860895872116089
aridity_coldest-quarter,-14.0,33.5,0.9830910563468933
aridity_coldest-quarter,-14.0,34.0,0.9675328135490417
aridity_coldest-quarter,-14.0,34.5,0.9846317172050476
aridity_coldest-quarter,-13.5,0.5,0.9247732162475586
aridity_coldest-quarter,-13.5,1.0,0.9266372919082642
aridity_coldest-quarter,-13.5,1.5,0.928590714931488
aridity_coldest-quarter,-13.5,2.0,0.9315758347511292
aridity_coldest-quarter,-13.5,2.5,0.9325481057167053
aridity_coldest-quarter,-13.5,3.0,0.9312840700149536
