variable,lat,lon,slope
evaporative-fraction_coldest-quarter,-14.5,0.5,0.00031778979159536816
evaporative-fraction_coldest-quarter,-14.5,1.0,0.0003123609792618524
evaporative-fraction_coldest-quarter,-14.5,1.5,0.0003125719016506558
evaporative-fraction_coldest-quarter,-14.5,2.0,0.0003207519295669737
evaporative-fraction_coldest-quarter,-14.5,2.5,0.00034719900715918765
evaporative-fraction_coldest-quarter,-14.5,3.0,0.0003714960600648607
evaporative-fraction_coldest-quarter,-14.5,3.5,0.00039507590589069183
evaporative-fraction_coldest-quarter,-14.5,4.0,0.00042511717904181705
evaporative-fraction_coldest-quarter,-14.5,4.5,0.0004616360224428631
evaporative-fraction_coldest-quarter,-14.5,5.0,0.0005009286105632782
evaporative-fraction_coldest-quarter,-14.5,5.5,0.000540238938161305
evaporative-fraction_coldest-quarter,-14.5,6.0,0.0005666290720303854
evaporative-fraction_coldest-quarter,-14.5,6.5,0.0005887122381301153
evaporative-fraction_coldest-quarter,-14.5,7.0,0.0006011924928142911
evaporative-fraction_coldest-quarter,-14.5,7.5,0.0006040788832164946
evaporative-fraction_coldest-quarter,-14.5,8.0,0.0006096008278074718
evaporative-fraction_coldest-quarter,-14.5,8.5,0.000606832050141834
evaporative-fraction_coldest-quarter,-14.5,9.0,0.0005957608421643575
evaporative-fraction_coldest-quarter,-14.5,9.5,0.0005671917682602292
evaporative-fraction_coldest-quarter,-14.5,10.0,0.000486118985073907
evaporative-fraction_coldest-quarter,-14.5,10.5,0.00040537243088086444
evaporative-fraction_coldest-quarter,-14.5,11.0,0.0003762255821909223
evaporative-fraction_coldest-quarter,-14.5,11.5,0.0004857776775246574
evaporative-fraction_coldest-quarter,-14.5,12.0,0.0007341837599163963
evaporative-fraction_coldest-quarter,-14.5,12.5,0.0010563998172680538
evaporative-fraction_coldest-quarter,-14.5,13.0,0.0013790845959669067
evaporative-fraction_coldest-quarter,-14.5,13.5,0.0011581758125906898
evaporative-fraction_coldest-quarter,-14.5,14.0,0.0007560386189392634
evaporative-fraction_coldest-quarter,-14.5,14.5,0.00037034263923054644
evaporative-fraction_coldest-quarter,-14.5,15.0,9.608588048389978e-07
evaporative-fraction_coldest-quarter,-14.5,15.5,-0.00039931067398616245
evaporative-fraction_coldest-quarter,-14.5,16.0,-0.0007097375180040086
evaporative-fraction_coldest-quarter,-14.5,16.5,-0.0009301795313755671
evaporative-fraction_coldest-quarter,-14.5,17.0,-0.0011248188536791574
evaporative-fraction_coldest-quarter,-14.5,17.5,-0.0012420378625392914
evaporative-fraction_coldest-quarter,-14.5,18.0,-0.0014032687814462751
evaporative-fraction_coldest-quarter,-14.5,18.5,-0.00157917273186502
evaporative-fraction_coldest-quarter,-14.5,19.0,-0.0017197334340640473
evaporative-fraction_coldest-quarter,-14.5,19.5,-0.0018249467192661194
evaporative-fraction_coldest-quarter,-14.5,20.0,-0.0019385828858330134
evaporative-fraction_coldest-quarter,-14.5,20.5,-0.0020774919539690018
